id_tanaman,nama_daun,harga,butuh,satuan,nama_toko,url
12,Fresh Daun & Batang Serai,4000,250,gram,Anggadwi1987,https://shopee.co.id/Fresh-Daun-Batang-Serai-250-gram-i.102823324.4221964890?sp_atk=85e5c15b-5671-4439-b864-6c26d23778ea
12,Sereh Serai ,6000,500,gram,Jangkausayurjakbar,https://shopee.co.id/Sereh-Serai-500-gr-i.518223502.10035508921?sp_atk=35db1818-f8c0-4425-b858-99f312c26083
12,Sere Besar,2000,200,gram,Porkbutchery.id,https://shopee.co.id/Serai-Sere-Besar-200-gr-i.86882155.4863580038?sp_atk=d57151d1-9dcb-4bef-9130-3f59c0659b68
12,Daun Sereh,6500,500,gram,Gubuk Sayur Malang,https://shopee.co.id/Daun-Sereh-dan-Sereh-Wangi-Sereh-Merah-Lemongrass-500-gram-i.28891894.4232425308?sp_atk=68b14a98-61ed-42e5-94b0-150a21d7eba4
12,Serai Murah,9000,1,kg,Arzah1234,https://shopee.co.id/serai-murah-daun-sereh-sayuran-bumbu-masak-batang-serai-fresh-500-gram-1-kg-i.75169848.6136844777?sp_atk=982546ec-af8a-4209-9468-c6817a52df27
12,Serai Segar,2000,250,gram,AL-herbal,https://shopee.co.id/SERAI-SERAI-SEGAR....-250-gram-hrga-promo-i.138064429.9684948421?sp_atk=c66c9d7e-f3ef-4716-8999-b9473c3a95c9
12,Daun Sere Batang,8500,3,ikat,Pasar Murah Jogja,https://shopee.co.id/Daun-Sere-Batang-Serai-Fresh-Per-Ikat-Sereh-Sayuran-Segar-Bumbu-Dapur-Rempah-Masak-Pasar-Murah-Jogja-i.325208264.4058718554?sp_atk=1573a6c7-fbd6-458a-b091-b9237df039d9
12,Batang Sereh Segar,5000,250,gram,Toko Nayya Supplier,https://shopee.co.id/Batang-Sereh-Segar-i.10710959.3336742938?sp_atk=c4da0b39-8306-4dfd-9433-6843923dfdf5
12,Daun serai,3800,100,gram,Danstorefashion,https://shopee.co.id/Daun-serai-batang-serai-sereh-100gr-i.169393368.6027715245?sp_atk=4f34b9f5-7946-410a-9fcd-8ce29856f3f0
12,Sereh Konvensional,4500,200,gram,Sayurbox Official Shop,https://shopee.co.id/Sayurbox-Sereh-Konvensional-200-gram-i.47882995.7633318688?sp_atk=3ad3e22d-1c3a-4aef-88f3-48da3e7c5e6b
12,Serai Sereh,3900,1,ikat,Pasar Lampung,https://shopee.co.id/Serai-Sereh-Per-Ikat-Pasar-Lampung-i.264543530.3590704102?sp_atk=0a493556-13eb-4ff0-8083-b4a47ad175c3
12,Sereh Segar,5000,200,gram,Jahe Merah Asli,https://www.tokopedia.com/jahemerahasli/daun-serai-daun-sereh-serai-segar-sereh-segar?src=topads
12,Sereh Frash,8000,500,gram,YA-NIZ Mart,https://www.tokopedia.com/toko-ya-niz/sereh-500gr-frash-berat-500g?src=topads
